2025-04-23 20:32:21 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 23056
2025-04-23 20:32:21 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2025-04-23 20:32:21 0 [Note] InnoDB: Uses event mutexes
2025-04-23 20:32:21 0 [Note] InnoDB: Compressed tables use zlib 1.3
2025-04-23 20:32:21 0 [Note] InnoDB: Number of pools: 1
2025-04-23 20:32:21 0 [Note] InnoDB: Using SSE2 crc32 instructions
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=240] with future log sequence number 474232
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=369] with future log sequence number 474232
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=239] with future log sequence number 474188
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=377] with future log sequence number 474188
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=238] with future log sequence number 474144
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=376] with future log sequence number 474144
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=237] with future log sequence number 474084
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=375] with future log sequence number 474084
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=236] with future log sequence number 474040
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=374] with future log sequence number 474040
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=232] with future log sequence number 473996
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=373] with future log sequence number 473996
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=300] with future log sequence number 2704713
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=437] with future log sequence number 2704713
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=299] with future log sequence number 2704669
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=436] with future log sequence number 2704669
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=298] with future log sequence number 2704625
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=435] with future log sequence number 2704625
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=297] with future log sequence number 2704581
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=434] with future log sequence number 2704581
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=296] with future log sequence number 2704537
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=433] with future log sequence number 2704537
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=295] with future log sequence number 2704493
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=432] with future log sequence number 2704493
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=294] with future log sequence number 2704449
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=431] with future log sequence number 2704449
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=293] with future log sequence number 2704405
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=430] with future log sequence number 2704405
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=292] with future log sequence number 2704345
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=429] with future log sequence number 2704345
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=291] with future log sequence number 2704301
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=428] with future log sequence number 2704301
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=290] with future log sequence number 2704257
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=427] with future log sequence number 2704257
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=289] with future log sequence number 2704213
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=426] with future log sequence number 2704213
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=288] with future log sequence number 2704169
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=425] with future log sequence number 2704169
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=287] with future log sequence number 2704125
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=424] with future log sequence number 2704125
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=286] with future log sequence number 2704081
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=423] with future log sequence number 2704081
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=285] with future log sequence number 2704037
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=422] with future log sequence number 2704037
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=284] with future log sequence number 2703993
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=421] with future log sequence number 2703993
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=283] with future log sequence number 2703949
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=420] with future log sequence number 2703949
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=282] with future log sequence number 2703905
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=57] with future log sequence number 2820894
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=256] with future log sequence number 3210276
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=387] with future log sequence number 3210276
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=255] with future log sequence number 3210216
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=386] with future log sequence number 3210216
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=254] with future log sequence number 3210172
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=385] with future log sequence number 3210172
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=30, page number=113] with future log sequence number 3214303
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=30, page number=112] with future log sequence number 3214273
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=30, page number=111] with future log sequence number 3214247
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=30, page number=110] with future log sequence number 3214221
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=30, page number=109] with future log sequence number 3214195
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=30, page number=108] with future log sequence number 3214169
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=30, page number=107] with future log sequence number 3214143
2025-04-23 20:32:21 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=30, page number=2] with future log sequence number 3214303
